date,campaign_id,campaign_name,ad_group_id,ad_group_name,impressions,clicks,cost,conversions,conversion_value,ctr,cpc,quality_score,search_impression_share,conversion_rate,channel,data_source
2024-01-11,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23271,1179,224,45,2400.0,0.0507,0.19,9,0.91,0.0385,Paid Search,Bing Ads
2024-01-11,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,44149,874,550,23,1150.0,0.0198,0.63,7,0.45,0.0265,Paid Search,Google Ads
2024-01-11,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,73920,2380,428,68,3200.0,0.0322,0.18,8,0.67,0.0287,Paid Search,Google Ads
2024-01-12,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,27902,1467,278,57,2600.0,0.0526,0.19,9,0.92,0.0393,Paid Search,Bing Ads
2024-01-12,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,47572,951,637,25,1300.0,0.02,0.67,7,0.46,0.027,Paid Search,Google Ads
2024-01-12,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,70143,2398,431,70,3550.0,0.0342,0.18,8,0.68,0.0293,Paid Search,Google Ads
2024-01-12,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,144482,534,154,16,750.0,0.0037,0.29,7,0.36,0.0303,Paid Search,Bing Ads
2024-01-13,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25944,1393,264,50,2450.0,0.0537,0.19,9,0.91,0.0359,Organic,Bing Ads
2024-01-13,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,49328,996,647,27,1200.0,0.0202,0.65,7,0.45,0.0273,Paid Search,Google Ads
2024-01-13,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,73579,2457,442,69,3300.0,0.0334,0.18,8,0.67,0.0281,Paid Search,Bing Ads
2024-01-13,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,127679,459,123,13,700.0,0.0036,0.27,7,0.35,0.0297,Paid Search,Google Ads
2024-01-14,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,22685,1138,216,43,2150.0,0.0502,0.19,9,0.9,0.038,Paid Search,Google Ads
2024-01-14,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,44138,896,573,22,1050.0,0.0203,0.64,6,0.43,0.0254,Paid Search,Google Ads
2024-01-14,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,63491,2114,401,60,3000.0,0.0333,0.19,8,0.65,0.0288,Organic,Google Ads
2024-01-14,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,116551,419,117,11,600.0,0.0036,0.28,7,0.33,0.0265,Organic,Google Ads
2024-01-15,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,21894,1092,207,42,2050.0,0.0499,0.19,9,0.89,0.0387,Paid Search,Google Ads
2024-01-15,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,37001,721,475,17,950.0,0.0195,0.66,6,0.42,0.0237,Paid Search,Google Ads
2024-01-15,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,61763,2019,363,55,2900.0,0.0327,0.18,8,0.64,0.0275,Organic,Bing Ads
2024-01-15,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,107074,385,111,10,550.0,0.0036,0.29,7,0.32,0.0265,Paid Search,Google Ads
2024-01-16,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,22047,1144,217,44,2300.0,0.0519,0.19,9,0.91,0.0386,Paid Search,Google Ads
2024-01-16,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,44042,867,563,21,1100.0,0.0197,0.65,7,0.44,0.0253,Paid Search,Bing Ads
2024-01-16,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,66402,2158,410,60,3250.0,0.0325,0.19,8,0.66,0.0282,Organic,Google Ads
2024-01-16,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,133544,467,126,12,650.0,0.0035,0.27,7,0.34,0.0268,Organic,Google Ads
2024-01-17,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,26920,1389,263,54,2550.0,0.0516,0.19,9,0.92,0.0392,Organic,Google Ads
2024-01-17,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,48089,947,606,26,1200.0,0.0197,0.64,7,0.45,0.0276,Paid Search,Google Ads
2024-01-17,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,69724,2426,436,73,3450.0,0.0348,0.18,8,0.67,0.0301,Paid Search,Google Ads
2024-01-17,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,129705,479,129,13,700.0,0.0037,0.27,7,0.35,0.028,Paid Search,Bing Ads
2024-01-18,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,28741,1529,290,54,2700.0,0.0532,0.19,9,0.93,0.0356,Paid Search,Google Ads
2024-01-18,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,44079,925,601,23,1250.0,0.021,0.65,7,0.46,0.0255,Organic,Google Ads
2024-01-18,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,68195,2291,412,65,3600.0,0.0336,0.18,8,0.68,0.0287,Paid Search,Google Ads
2024-01-18,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,147573,575,149,15,750.0,0.0039,0.26,7,0.36,0.027,Paid Search,Bing Ads
2024-01-19,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25524,1403,266,53,2600.0,0.055,0.19,9,0.92,0.0383,Paid Search,Google Ads
2024-01-19,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,47620,938,609,25,1200.0,0.0197,0.65,7,0.45,0.0272,Paid Search,Google Ads
2024-01-19,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,66112,2227,400,62,3500.0,0.0337,0.18,8,0.68,0.0279,Organic,Google Ads
2024-01-19,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,138879,527,142,14,700.0,0.0038,0.27,7,0.35,0.0281,Paid Search,Bing Ads
2024-01-20,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,26528,1352,256,51,2400.0,0.051,0.19,9,0.91,0.038,Paid Search,Google Ads
2024-01-20,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,42887,832,532,21,1150.0,0.0194,0.64,7,0.44,0.0257,Paid Search,Google Ads
2024-01-20,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,71653,2335,420,64,3350.0,0.0326,0.18,8,0.67,0.0278,Paid Search,Google Ads
2024-01-20,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,133335,466,125,12,650.0,0.0035,0.27,7,0.34,0.0274,Paid Search,Google Ads
2024-01-21,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,21292,1092,207,42,2100.0,0.0513,0.19,9,0.89,0.0387,Paid Search,Google Ads
2024-01-21,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,39600,803,497,19,1000.0,0.0203,0.62,6,0.42,0.0242,Paid Search,Google Ads
2024-01-21,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,62067,1979,356,54,2950.0,0.0319,0.18,8,0.65,0.0274,Paid Search,Google Ads
2024-01-21,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,117343,410,110,11,600.0,0.0035,0.27,7,0.33,0.0273,Paid Search,Bing Ads
2024-01-22,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,21541,1111,211,42,2050.0,0.0516,0.19,9,0.88,0.0386,Paid Search,Google Ads
2024-01-22,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,38718,782,484,19,950.0,0.0202,0.62,6,0.41,0.0244,Paid Search,Google Ads
2024-01-22,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,61584,2019,383,56,2850.0,0.0328,0.19,8,0.63,0.0282,Paid Search,Google Ads
2024-01-22,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,118572,415,112,10,550.0,0.0035,0.27,7,0.32,0.0254,Paid Search,Google Ads
2024-01-23,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,24594,1276,242,45,2350.0,0.0519,0.19,9,0.91,0.0356,Paid Search,Google Ads
2024-01-23,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,39588,799,511,21,1100.0,0.0202,0.64,7,0.44,0.0269,Paid Search,Google Ads
2024-01-23,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,63964,2142,406,59,3200.0,0.0335,0.19,8,0.66,0.0277,Paid Search,Google Ads
2024-01-23,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,133726,481,134,13,650.0,0.0036,0.28,7,0.34,0.0284,Paid Search,Bing Ads
2024-01-24,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23769,1285,244,47,2550.0,0.0541,0.19,9,0.92,0.0369,Paid Search,Google Ads
2024-01-24,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,42074,858,523,22,1200.0,0.0204,0.61,7,0.45,0.0261,Paid Search,Google Ads
2024-01-24,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,68949,2406,433,68,3450.0,0.0349,0.18,8,0.67,0.0284,Paid Search,Bing Ads
2024-01-24,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,140661,534,144,14,700.0,0.0038,0.27,7,0.35,0.028,Paid Search,Google Ads
2024-01-25,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,29136,1526,289,57,2750.0,0.0524,0.19,9,0.93,0.0377,Paid Search,Google Ads
2024-01-25,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,50310,1026,666,28,1300.0,0.0204,0.65,7,0.46,0.0276,Paid Search,Google Ads
2024-01-25,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,68834,2312,416,66,3650.0,0.0336,0.18,8,0.69,0.0287,Paid Search,Google Ads
2024-01-25,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,147248,574,154,17,750.0,0.0039,0.27,7,0.36,0.0298,Paid Search,Google Ads
2024-01-26,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,30249,1657,298,65,2900.0,0.0548,0.18,9,0.94,0.0393,Paid Search,Google Ads
2024-01-26,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,45747,910,582,23,1350.0,0.0199,0.64,7,0.47,0.026,Paid Search,Google Ads
2024-01-26,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,80391,2685,483,75,3750.0,0.0334,0.18,8,0.7,0.0282,Paid Search,Google Ads
2024-01-26,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,137948,537,139,15,800.0,0.0039,0.26,7,0.37,0.0296,Paid Search,Google Ads
2024-01-27,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25904,1331,252,51,2650.0,0.0514,0.19,9,0.92,0.0387,Paid Search,Bing Ads
2024-01-27,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,46057,939,610,24,1250.0,0.0204,0.65,7,0.46,0.0261,Organic,Google Ads
2024-01-27,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,69703,2376,427,67,3550.0,0.0341,0.18,8,0.69,0.0284,Paid Search,Google Ads
2024-01-27,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,127831,460,124,13,750.0,0.0036,0.27,7,0.36,0.029,Paid Search,Google Ads
2024-01-28,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23718,1249,237,45,2450.0,0.0527,0.19,9,0.91,0.0368,Organic,Google Ads
2024-01-28,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,43037,860,550,21,1200.0,0.02,0.64,7,0.45,0.0255,Paid Search,Google Ads
2024-01-28,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,72414,2396,431,67,3400.0,0.0331,0.18,8,0.68,0.0281,Paid Search,Google Ads
2024-01-28,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,144636,535,144,15,700.0,0.0037,0.27,7,0.35,0.0287,Paid Search,Google Ads
2024-01-29,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,24132,1216,231,46,2200.0,0.0504,0.19,9,0.9,0.0386,Paid Search,Google Ads
2024-01-29,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,40880,809,542,20,1050.0,0.0198,0.67,7,0.43,0.0258,Paid Search,Google Ads
2024-01-29,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,62873,2099,377,60,3050.0,0.0334,0.18,8,0.66,0.0286,Paid Search,Google Ads
2024-01-29,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,135566,474,137,13,600.0,0.0035,0.29,7,0.33,0.0276,Paid Search,Google Ads
2024-01-30,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25164,1295,246,46,2350.0,0.0515,0.19,9,0.91,0.036,Paid Search,Bing Ads
2024-01-30,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,44227,853,562,22,1150.0,0.0193,0.66,7,0.44,0.0262,Paid Search,Google Ads
2024-01-30,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,70586,2364,425,65,3300.0,0.0335,0.18,8,0.67,0.0275,Paid Search,Google Ads
2024-01-30,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,129970,467,130,12,650.0,0.0036,0.28,7,0.34,0.027,Paid Search,Google Ads
2024-01-31,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25376,1306,248,49,2500.0,0.0515,0.19,9,0.92,0.0377,Paid Search,Bing Ads
2024-01-31,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,44549,877,552,22,1200.0,0.0197,0.63,7,0.45,0.0252,Paid Search,Google Ads
2024-01-31,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,67012,2278,410,62,3400.0,0.034,0.18,8,0.67,0.0274,Paid Search,Google Ads
2024-01-31,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,126988,457,123,13,700.0,0.0036,0.27,7,0.35,0.0286,Paid Search,Google Ads
2024-01-03,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23807,1233,234,46,2250.0,0.0518,0.19,9,0.92,0.0374,Paid Search,Google Ads
2024-01-03,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,48940,978,635,26,1150.0,0.02,0.65,7,0.45,0.0266,Organic,Google Ads
2024-01-03,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,67888,2396,431,65,3350.0,0.0353,0.18,8,0.67,0.0273,Paid Search,Google Ads
2024-01-04,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23503,1250,237,46,2400.0,0.0532,0.19,9,0.91,0.0375,Organic,Bing Ads
2024-01-04,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,43244,834,550,20,1050.0,0.0193,0.66,7,0.44,0.0245,Paid Search,Google Ads
2024-01-04,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,65889,2259,406,67,3550.0,0.0343,0.18,8,0.68,0.0299,Paid Search,Google Ads
2024-01-05,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,22794,1128,214,42,2100.0,0.0495,0.19,9,0.93,0.0378,Paid Search,Google Ads
2024-01-05,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,45122,888,568,23,1250.0,0.0197,0.64,6,0.43,0.0264,Paid Search,Bing Ads
2024-01-05,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,127941,486,131,13,600.0,0.0038,0.27,7,0.35,0.027,Paid Search,Google Ads
2024-01-06,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25960,1368,259,50,2500.0,0.0527,0.19,9,0.92,0.0366,Paid Search,Bing Ads
2024-01-06,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,68733,2151,387,60,3250.0,0.0313,0.18,8,0.66,0.0283,Paid Search,Google Ads
2024-01-06,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,127199,457,132,12,700.0,0.0036,0.29,7,0.36,0.0279,Paid Search,Bing Ads
2024-01-07,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23657,1192,238,45,2300.0,0.0504,0.2,9,0.91,0.0383,Paid Search,Google Ads
2024-01-07,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,42698,862,551,22,1200.0,0.0202,0.64,7,0.45,0.0261,Organic,Google Ads
2024-01-07,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,124708,448,125,12,650.0,0.0036,0.28,7,0.34,0.0279,Organic,Bing Ads
2024-01-08,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,22933,1220,231,45,2350.0,0.0532,0.19,9,0.92,0.0374,Paid Search,Bing Ads
2024-01-08,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,69834,2241,425,64,3450.0,0.0321,0.19,8,0.67,0.0289,Organic,Google Ads
2024-01-08,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,123921,433,116,11,650.0,0.0035,0.27,7,0.35,0.027,Paid Search,Google Ads
2024-01-09,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,26476,1427,271,55,2700.0,0.0539,0.19,9,0.93,0.0389,Paid Search,Google Ads
2024-01-09,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,42011,810,534,20,1100.0,0.0193,0.66,6,0.44,0.025,Paid Search,Google Ads
2024-01-09,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,68094,2213,398,64,3300.0,0.0325,0.18,8,0.66,0.0292,Paid Search,Google Ads
2024-01-10,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23328,1178,223,45,2150.0,0.0505,0.19,9,0.91,0.0383,Paid Search,Google Ads
2024-01-10,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,45722,937,618,23,1300.0,0.0205,0.66,7,0.46,0.025,Paid Search,Google Ads
2024-01-10,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,130941,445,124,11,550.0,0.0034,0.28,7,0.34,0.0259,Organic,Google Ads
2024-01-11,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,26909,1385,263,53,2450.0,0.0515,0.19,9,0.92,0.0387,Paid Search,Bing Ads
2024-01-11,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,76592,2473,445,72,3500.0,0.0323,0.18,8,0.68,0.0294,Paid Search,Google Ads
2024-01-11,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,134617,471,131,12,600.0,0.0035,0.28,7,0.35,0.0268,Paid Search,Google Ads
2024-01-12,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,26584,1361,258,49,2400.0,0.0512,0.19,9,0.91,0.0367,Organic,Bing Ads
2024-01-12,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,48598,962,606,25,1150.0,0.0198,0.63,7,0.45,0.0268,Paid Search,Google Ads
2024-01-12,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,74192,2433,437,67,3200.0,0.0328,0.18,8,0.67,0.0276,Paid Search,Google Ads
2024-01-13,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,27660,1479,281,57,2600.0,0.0535,0.19,9,0.92,0.0388,Organic,Google Ads
2024-01-13,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,50411,998,648,28,1300.0,0.0198,0.65,7,0.46,0.0284,Organic,Bing Ads
2024-01-13,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,72880,2448,440,72,3550.0,0.0336,0.18,8,0.68,0.0296,Paid Search,Google Ads
2024-01-13,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,143842,532,154,15,750.0,0.0037,0.29,7,0.36,0.0296,Paid Search,Bing Ads
2024-01-14,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,27069,1383,262,50,2450.0,0.0511,0.19,9,0.91,0.0367,Paid Search,Google Ads
2024-01-14,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,43184,846,532,21,1200.0,0.0196,0.63,7,0.45,0.0255,Paid Search,Google Ads
2024-01-14,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,68412,2339,421,63,3300.0,0.0342,0.18,8,0.67,0.027,Organic,Google Ads
2024-01-14,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,140938,521,140,15,700.0,0.0037,0.27,7,0.35,0.0292,Paid Search,Google Ads
2024-01-15,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,21735,1123,202,42,2150.0,0.0517,0.18,9,0.9,0.0375,Paid Search,Google Ads
2024-01-15,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,40765,815,529,20,1050.0,0.02,0.65,6,0.43,0.0254,Paid Search,Google Ads
2024-01-15,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,59447,1920,345,54,3000.0,0.0323,0.18,8,0.65,0.0284,Organic,Google Ads
2024-01-15,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,122917,454,122,12,600.0,0.0037,0.27,7,0.33,0.0265,Paid Search,Google Ads
2024-01-16,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,22730,1163,220,42,2050.0,0.0512,0.19,9,0.89,0.0368,Paid Search,Bing Ads
2024-01-16,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,41969,826,520,19,950.0,0.0197,0.63,6,0.42,0.0237,Paid Search,Bing Ads
2024-01-16,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,58299,1859,334,55,2900.0,0.0319,0.18,8,0.64,0.0301,Paid Search,Google Ads
2024-01-16,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,120613,434,121,12,550.0,0.0036,0.28,7,0.32,0.028,Paid Search,Bing Ads
2024-01-17,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23787,1203,228,42,2300.0,0.0506,0.19,9,0.91,0.0355,Paid Search,Google Ads
2024-01-17,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,44854,861,585,22,1100.0,0.0192,0.68,7,0.44,0.0259,Paid Search,Bing Ads
2024-01-17,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,62575,2127,382,62,3250.0,0.034,0.18,8,0.66,0.0293,Organic,Google Ads
2024-01-17,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,129193,452,117,12,650.0,0.0035,0.26,7,0.34,0.0278,Paid Search,Google Ads
2024-01-18,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25731,1363,258,53,2550.0,0.053,0.19,9,0.92,0.0391,Organic,Bing Ads
2024-01-18,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,43133,845,566,22,1200.0,0.0196,0.67,7,0.45,0.0269,Paid Search,Google Ads
2024-01-18,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,69528,2391,430,70,3450.0,0.0344,0.18,8,0.67,0.0295,Paid Search,Google Ads
2024-01-18,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,124406,447,120,13,700.0,0.0036,0.27,7,0.35,0.0295,Paid Search,Google Ads
2024-01-19,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,28060,1484,281,52,2700.0,0.0529,0.19,9,0.93,0.0355,Paid Search,Google Ads
2024-01-19,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,47913,991,634,26,1250.0,0.0207,0.64,7,0.46,0.0267,Paid Search,Google Ads
2024-01-19,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,77752,2643,475,74,3600.0,0.034,0.18,8,0.68,0.028,Paid Search,Bing Ads
