date,campaign_id,campaign_name,ad_group_id,ad_group_name,impressions,clicks,cost,conversions,video_views,engagement_rate,reach,frequency,ctr,cpc,conversion_rate,view_rate,channel,data_source
2024-01-06,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,48424,949,132,13,8769,0.0205,40852,1.19,0.0196,0.14,0.0144,0.1811,Paid Social,Facebook Ads
2024-01-06,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13799,618,234,37,1499,0.046,12179,1.13,0.0448,0.38,0.0609,0.1087,Paid Social,LinkedIn Ads
2024-01-06,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,74115,259,93,6,52147,0.0036,62834,1.18,0.0035,0.36,0.0233,0.7036,Paid Social,Facebook Ads
2024-01-07,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,42441,853,127,11,7779,0.0189,35011,1.21,0.0201,0.15,0.0129,0.1833,Organic,Facebook Ads
2024-01-07,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,34673,1286,192,24,4562,0.0371,27221,1.27,0.0371,0.15,0.0194,0.1316,Paid Social,Facebook Ads
2024-01-07,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,67447,242,89,5,47954,0.0034,59529,1.13,0.0036,0.37,0.0214,0.711,Paid Social,Facebook Ads
2024-01-08,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,48431,1026,133,15,8940,0.0207,38286,1.26,0.0212,0.13,0.0151,0.1846,Paid Social,Facebook Ads
2024-01-08,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14503,678,264,44,1572,0.0458,12544,1.16,0.0468,0.39,0.0649,0.1084,Paid Social,LinkedIn Ads
2024-01-08,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,34652,1271,203,24,4671,0.0384,27241,1.27,0.0367,0.16,0.0192,0.1348,Organic,Facebook Ads
2024-01-09,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,43994,862,129,12,7879,0.0191,37305,1.18,0.0196,0.15,0.0143,0.1791,Paid Social,Facebook Ads
2024-01-09,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12178,540,210,33,1182,0.0433,9870,1.23,0.0444,0.39,0.0629,0.0971,Paid Social,Facebook Ads
2024-01-09,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,70291,253,96,6,46160,0.0035,56581,1.24,0.0036,0.38,0.0254,0.6567,Paid Social,Facebook Ads
2024-01-10,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,52933,1069,149,15,9882,0.0193,44242,1.2,0.0202,0.14,0.0146,0.1867,Paid Social,Facebook Ads
2024-01-10,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,38320,1375,206,28,4874,0.0375,29851,1.28,0.0359,0.15,0.0207,0.1272,Paid Social,Facebook Ads
2024-01-10,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,71240,256,94,6,50124,0.0037,62556,1.14,0.0036,0.37,0.0237,0.7036,Paid Social,Facebook Ads
2024-01-11,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,50159,1033,144,14,9179,0.0196,41407,1.21,0.0206,0.14,0.0145,0.183,Paid Social,Facebook Ads
2024-01-11,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13917,638,236,42,1441,0.0466,11067,1.26,0.0459,0.37,0.0663,0.1036,Paid Social,Facebook Ads
2024-01-11,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,36516,1318,197,26,4896,0.0369,32700,1.12,0.0361,0.15,0.0198,0.1341,Paid Social,LinkedIn Ads
2024-01-12,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,56051,1171,152,18,10150,0.0199,49559,1.13,0.0209,0.13,0.0156,0.1811,Paid Social,Facebook Ads
2024-01-12,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,15094,763,267,47,1743,0.048,13481,1.12,0.0506,0.35,0.062,0.1155,Organic,Facebook Ads
2024-01-12,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,37791,1488,208,30,4927,0.0381,31275,1.21,0.0394,0.14,0.0204,0.1304,Organic,Facebook Ads
2024-01-12,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,79338,285,108,8,54021,0.0038,69937,1.13,0.0036,0.38,0.0292,0.6809,Paid Social,LinkedIn Ads
2024-01-13,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,49257,985,137,14,9201,0.0214,41488,1.19,0.02,0.14,0.015,0.1868,Organic,Facebook Ads
2024-01-13,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14372,661,251,39,1447,0.0452,11308,1.27,0.046,0.38,0.0602,0.1007,Paid Social,Facebook Ads
2024-01-13,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,35806,1310,196,25,4801,0.038,32259,1.11,0.0366,0.15,0.0195,0.1341,Paid Social,Facebook Ads
2024-01-13,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,71605,264,95,6,49908,0.0034,62859,1.14,0.0037,0.36,0.0259,0.697,Paid Social,Facebook Ads
2024-01-14,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,43405,881,123,12,7782,0.0196,36352,1.19,0.0203,0.14,0.0146,0.1793,Paid Social,Facebook Ads
2024-01-14,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,11736,559,206,33,1158,0.0451,9851,1.19,0.0477,0.37,0.06,0.0987,Paid Social,Facebook Ads
2024-01-14,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,35919,1303,195,26,4504,0.0361,30199,1.19,0.0363,0.15,0.02,0.1254,Paid Social,Facebook Ads
2024-01-14,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,68023,258,90,5,46588,0.0038,55351,1.23,0.0038,0.35,0.022,0.6849,Paid Social,LinkedIn Ads
2024-01-15,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,39904,770,107,10,7501,0.0194,36069,1.11,0.0193,0.14,0.0134,0.188,Organic,Facebook Ads
2024-01-15,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,10921,514,195,29,1081,0.0447,9738,1.12,0.0471,0.38,0.058,0.099,Paid Social,Facebook Ads
2024-01-15,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,33114,1195,179,21,4251,0.0346,29831,1.11,0.0361,0.15,0.0178,0.1284,Paid Social,LinkedIn Ads
2024-01-15,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,64457,232,81,4,41781,0.0036,50630,1.27,0.0036,0.35,0.0181,0.6482,Paid Social,Facebook Ads
2024-01-16,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,50505,999,139,15,9131,0.0201,39008,1.29,0.0198,0.14,0.0156,0.1808,Paid Social,Facebook Ads
2024-01-16,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,11973,538,215,33,1309,0.0454,9313,1.29,0.045,0.4,0.0621,0.1094,Organic,Facebook Ads
2024-01-16,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,32838,1215,182,22,4413,0.0366,28932,1.14,0.037,0.15,0.0185,0.1344,Paid Social,Facebook Ads
2024-01-16,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,64920,233,81,5,41685,0.0036,53941,1.2,0.0036,0.35,0.0233,0.6421,Organic,LinkedIn Ads
2024-01-17,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,52372,1078,150,16,9206,0.0202,42339,1.24,0.0206,0.14,0.0149,0.1758,Paid Social,Facebook Ads
2024-01-17,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13496,643,231,38,1527,0.0466,10492,1.29,0.0477,0.36,0.0605,0.1132,Paid Social,LinkedIn Ads
2024-01-17,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,38157,1404,210,28,5254,0.0377,32232,1.18,0.0368,0.15,0.0201,0.1377,Paid Social,Facebook Ads
2024-01-17,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,77975,272,92,7,52102,0.0036,62996,1.24,0.0035,0.34,0.0274,0.6682,Paid Social,Facebook Ads
2024-01-18,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,52719,1138,159,18,9352,0.0202,45559,1.16,0.0216,0.14,0.0165,0.1774,Paid Social,Facebook Ads
2024-01-18,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,15259,747,276,45,1628,0.0471,12365,1.23,0.049,0.37,0.0613,0.1067,Paid Social,Facebook Ads
2024-01-18,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,38464,1453,217,31,5415,0.0377,30660,1.25,0.0378,0.15,0.022,0.1408,Paid Social,LinkedIn Ads
2024-01-18,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,76477,282,98,7,53304,0.0036,63340,1.21,0.0037,0.35,0.0275,0.697,Paid Social,Facebook Ads
2024-01-19,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,47962,988,138,16,8997,0.0199,37539,1.28,0.0206,0.14,0.0165,0.1876,Paid Social,LinkedIn Ads
2024-01-19,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13967,669,240,41,1419,0.0492,10802,1.29,0.0479,0.36,0.0617,0.1016,Paid Social,Facebook Ads
2024-01-19,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,40535,1556,233,33,5216,0.0359,32736,1.24,0.0384,0.15,0.0216,0.1287,Paid Social,Facebook Ads
2024-01-19,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,74416,267,96,7,50483,0.0037,64400,1.16,0.0036,0.36,0.0271,0.6784,Paid Social,Facebook Ads
2024-01-20,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,49005,994,139,15,9252,0.0205,38369,1.28,0.0203,0.14,0.0154,0.1888,Paid Social,Facebook Ads
2024-01-20,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13429,624,237,37,1328,0.0467,11697,1.15,0.0465,0.38,0.0603,0.0989,Paid Social,Facebook Ads
2024-01-20,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,38736,1417,212,27,5159,0.0353,31250,1.24,0.0366,0.15,0.0196,0.1332,Organic,Facebook Ads
2024-01-20,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,66887,240,86,5,44994,0.0036,51506,1.3,0.0036,0.36,0.0244,0.6727,Organic,Facebook Ads
2024-01-21,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,43978,897,125,13,7792,0.0203,36877,1.19,0.0204,0.14,0.0155,0.1772,Paid Social,Facebook Ads
2024-01-21,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,11963,563,202,34,1113,0.0466,10065,1.19,0.0471,0.36,0.062,0.0931,Paid Social,Facebook Ads
2024-01-21,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,33095,1211,193,24,4275,0.0373,27642,1.2,0.0366,0.16,0.0199,0.1292,Paid Social,Facebook Ads
2024-01-21,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,63583,235,84,5,42378,0.0034,52160,1.22,0.0037,0.36,0.0221,0.6665,Paid Social,Facebook Ads
2024-01-22,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,43531,853,127,12,7731,0.0206,35643,1.22,0.0196,0.15,0.0141,0.1776,Paid Social,Facebook Ads
2024-01-22,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,10331,475,175,31,982,0.0434,8691,1.19,0.046,0.37,0.0664,0.0951,Organic,LinkedIn Ads
2024-01-22,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,30823,1109,166,21,3578,0.034,24930,1.24,0.036,0.15,0.0193,0.1161,Paid Social,Facebook Ads
2024-01-22,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,62478,231,78,4,42809,0.0037,49613,1.26,0.0037,0.34,0.0186,0.6852,Paid Social,Facebook Ads
2024-01-23,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,43506,896,125,14,7791,0.0196,38091,1.14,0.0206,0.14,0.0158,0.1791,Paid Social,Facebook Ads
2024-01-23,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,11937,528,195,33,1216,0.044,9440,1.26,0.0443,0.37,0.0639,0.1019,Paid Social,Facebook Ads
2024-01-23,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,33899,1203,180,23,4122,0.0378,27042,1.25,0.0355,0.15,0.0199,0.1216,Paid Social,Facebook Ads
2024-01-23,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,62109,229,82,4,40668,0.0036,55788,1.11,0.0037,0.36,0.0214,0.6548,Organic,Facebook Ads
2024-01-24,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,52197,1059,148,16,9635,0.0197,42738,1.22,0.0203,0.14,0.0156,0.1846,Paid Social,Facebook Ads
2024-01-24,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14886,692,249,42,1585,0.0434,11845,1.26,0.0465,0.36,0.0619,0.1065,Paid Social,Facebook Ads
2024-01-24,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,34769,1279,191,27,4384,0.0377,29405,1.18,0.0368,0.15,0.0216,0.1261,Organic,Facebook Ads
2024-01-24,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,67966,237,82,5,44735,0.0036,58127,1.17,0.0035,0.35,0.0225,0.6582,Paid Social,Facebook Ads
2024-01-25,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,55250,1154,161,19,9729,0.0217,49179,1.12,0.0209,0.14,0.0165,0.1761,Paid Social,Facebook Ads
2024-01-25,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14351,675,236,40,1462,0.0467,12062,1.19,0.0471,0.35,0.0594,0.1019,Paid Social,Facebook Ads
2024-01-25,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,36329,1351,202,27,4773,0.0381,28839,1.26,0.0372,0.15,0.0205,0.1314,Paid Social,Facebook Ads
2024-01-25,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,72025,252,90,6,49834,0.0035,64017,1.13,0.0035,0.36,0.0275,0.6919,Paid Social,Facebook Ads
2024-01-26,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,52475,1091,152,17,9849,0.0217,43944,1.19,0.0208,0.14,0.0163,0.1877,Paid Social,Facebook Ads
2024-01-26,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,16403,767,268,49,1719,0.046,13261,1.24,0.0468,0.35,0.0647,0.1048,Paid Social,Facebook Ads
2024-01-26,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,39784,1543,231,33,5378,0.0385,31950,1.25,0.0388,0.15,0.0216,0.1352,Paid Social,LinkedIn Ads
2024-01-26,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,72137,266,95,7,46694,0.0037,59314,1.22,0.0037,0.36,0.0296,0.6473,Paid Social,Facebook Ads
2024-01-27,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,52724,1070,160,17,9775,0.0209,40633,1.3,0.0203,0.15,0.0168,0.1854,Paid Social,Facebook Ads
2024-01-27,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14082,687,261,46,1499,0.0494,12320,1.14,0.0488,0.38,0.067,0.1065,Paid Social,Facebook Ads
2024-01-27,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,39342,1487,237,33,5201,0.0356,33273,1.18,0.0378,0.16,0.0226,0.1322,Paid Social,Facebook Ads
2024-01-27,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,69276,242,89,6,44274,0.0034,61204,1.13,0.0035,0.37,0.0282,0.6391,Paid Social,Facebook Ads
2024-01-28,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,46312,958,134,14,8790,0.0198,36843,1.26,0.0207,0.14,0.0156,0.1898,Paid Social,Facebook Ads
2024-01-28,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12745,568,210,37,1274,0.0435,11505,1.11,0.0446,0.37,0.0652,0.1,Organic,LinkedIn Ads
2024-01-28,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,33534,1200,192,26,4433,0.0363,25928,1.29,0.0358,0.16,0.0219,0.1322,Paid Social,Facebook Ads
2024-01-28,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,73205,270,94,5,51258,0.0037,65312,1.12,0.0037,0.35,0.0206,0.7002,Organic,LinkedIn Ads
2024-01-29,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,44956,885,123,13,8433,0.02,38256,1.18,0.0197,0.14,0.015,0.1876,Paid Social,Facebook Ads
2024-01-29,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,10849,505,191,31,999,0.0438,9043,1.2,0.0466,0.38,0.0626,0.0921,Paid Social,Facebook Ads
2024-01-29,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,34863,1251,200,27,4340,0.0368,29867,1.17,0.0359,0.16,0.0218,0.1245,Paid Social,Facebook Ads
2024-01-29,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,61292,226,76,3,41985,0.0037,53135,1.15,0.0037,0.34,0.0174,0.685,Paid Social,LinkedIn Ads
2024-01-30,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,48758,1004,140,15,8888,0.0201,38367,1.27,0.0206,0.14,0.0156,0.1823,Paid Social,Facebook Ads
2024-01-30,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14205,647,232,41,1386,0.0441,12446,1.14,0.0456,0.36,0.0648,0.0976,Paid Social,LinkedIn Ads
2024-01-30,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,35499,1327,199,29,4593,0.036,31103,1.14,0.0374,0.15,0.0219,0.1294,Paid Social,Facebook Ads
2024-01-30,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,66846,247,86,6,43523,0.0038,54418,1.23,0.0037,0.35,0.0249,0.6511,Paid Social,Facebook Ads
2024-01-31,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,49293,980,137,15,9306,0.0198,40372,1.22,0.0199,0.14,0.0156,0.1888,Paid Social,Facebook Ads
2024-01-31,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,15252,678,257,41,1462,0.048,11739,1.3,0.0445,0.38,0.0608,0.0959,Paid Social,Facebook Ads
2024-01-31,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,40207,1479,236,32,5323,0.0365,33731,1.19,0.0368,0.16,0.022,0.1324,Paid Social,Facebook Ads
2024-01-31,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,68783,254,86,6,45224,0.0036,57319,1.2,0.0037,0.34,0.0271,0.6575,Organic,LinkedIn Ads
2024-01-03,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,48155,924,129,12,9072,0.0199,38067,1.27,0.0192,0.14,0.0132,0.1884,Paid Social,Facebook Ads
2024-01-03,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12252,545,207,33,1242,0.0473,10182,1.2,0.0445,0.38,0.061,0.1014,Paid Social,Facebook Ads
2024-01-03,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,33590,1222,183,22,4507,0.0368,29294,1.15,0.0364,0.15,0.0184,0.1342,Paid Social,Facebook Ads
2024-01-04,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,39520,790,118,9,7180,0.0191,35432,1.12,0.02,0.15,0.0122,0.1817,Paid Social,Facebook Ads
2024-01-04,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13785,627,244,37,1410,0.0441,10724,1.29,0.0455,0.39,0.06,0.1023,Paid Social,Facebook Ads
2024-01-04,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,37335,1388,208,25,4823,0.0379,31981,1.17,0.0372,0.15,0.0181,0.1292,Paid Social,Facebook Ads
2024-01-05,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,44641,866,121,12,8459,0.0211,35149,1.27,0.0194,0.14,0.0143,0.1895,Paid Social,Facebook Ads
2024-01-05,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,10602,472,188,28,1046,0.0437,9156,1.16,0.0446,0.4,0.0606,0.0987,Paid Social,Facebook Ads
2024-01-05,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,40105,1495,224,29,5482,0.0358,31935,1.26,0.0373,0.15,0.0195,0.1367,Paid Social,Facebook Ads
2024-01-06,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,50079,986,138,14,9429,0.0198,41621,1.2,0.0197,0.14,0.0148,0.1883,Paid Social,LinkedIn Ads
2024-01-06,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13867,630,220,39,1453,0.0443,10757,1.29,0.0455,0.35,0.0628,0.1048,Paid Social,Facebook Ads
2024-01-06,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,73001,248,96,5,50480,0.0036,62598,1.17,0.0034,0.39,0.0203,0.6915,Paid Social,Facebook Ads
2024-01-07,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,44960,917,128,12,8546,0.0206,37517,1.2,0.0204,0.14,0.0138,0.1901,Paid Social,Facebook Ads
2024-01-07,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12889,570,222,35,1385,0.0436,10419,1.24,0.0443,0.39,0.0617,0.1075,Paid Social,Facebook Ads
2024-01-07,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,74542,275,101,6,53543,0.0035,64792,1.15,0.0037,0.37,0.023,0.7183,Paid Social,LinkedIn Ads
2024-01-08,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,41712,830,124,10,7896,0.0205,37126,1.12,0.0199,0.15,0.0126,0.1893,Paid Social,Facebook Ads
2024-01-08,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,33539,1220,195,22,4403,0.0349,27829,1.21,0.0364,0.16,0.0185,0.1313,Paid Social,Facebook Ads
2024-01-08,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,70706,254,96,4,49465,0.0036,59793,1.18,0.0036,0.38,0.0196,0.6996,Paid Social,Facebook Ads
2024-01-09,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,48504,1037,145,15,9705,0.0222,37519,1.29,0.0214,0.14,0.015,0.2001,Paid Social,LinkedIn Ads
2024-01-09,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14462,662,251,42,1613,0.0442,11435,1.26,0.0458,0.38,0.0636,0.1116,Paid Social,Facebook Ads
2024-01-09,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,36660,1382,207,27,4787,0.0352,29684,1.24,0.0377,0.15,0.0198,0.1306,Paid Social,Facebook Ads
2024-01-10,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,49174,988,148,14,9470,0.0208,39722,1.24,0.0201,0.15,0.015,0.1926,Paid Social,LinkedIn Ads
2024-01-10,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,11679,522,208,33,1213,0.0458,9603,1.22,0.0447,0.4,0.0636,0.1039,Paid Social,Facebook Ads
2024-01-10,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,75224,278,100,6,53875,0.0037,65551,1.15,0.0037,0.36,0.025,0.7162,Paid Social,Facebook Ads
2024-01-11,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,50551,995,139,14,9832,0.0203,43239,1.17,0.0197,0.14,0.0145,0.1945,Organic,Facebook Ads
2024-01-11,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,37050,1337,213,25,4842,0.0372,29916,1.24,0.0361,0.16,0.0194,0.1307,Paid Social,Facebook Ads
2024-01-11,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,69097,255,94,5,47587,0.0036,54325,1.27,0.0037,0.37,0.0227,0.6887,Paid Social,Facebook Ads
