date,campaign_id,campaign_name,ad_group_id,ad_group_name,impressions,clicks,cost,conversions,video_views,video_watch_25,video_watch_50,video_watch_75,video_watch_100,likes,shares,comments,ctr,cpc,conversion_rate,view_rate,channel,data_source
2024-01-05,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,217107,3386,406,29,170993,121234,96234,61234,37456,7345,2034,489,0.0156,0.12,0.0086,0.7876,Paid Social,StackAdapt
2024-01-05,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,351980,5878,881,95,296824,245678,196789,140234,93456,16234,4789,1289,0.0167,0.15,0.0163,0.8433,Paid Social,Amazon Ad Server
2024-01-06,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,244024,3709,519,36,208884,156789,98789,67789,45456,8945,2367,578,0.0152,0.14,0.0098,0.856,Paid Social,StackAdapt
2024-01-06,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,133082,2488,696,65,92412,68234,45789,34567,23678,4678,1267,237,0.0187,0.28,0.0265,0.6944,Paid Social,TikTok Ads
2024-01-06,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,357250,5751,920,87,293373,239234,191234,136234,90234,15890,4634,1256,0.0161,0.16,0.0152,0.8212,Paid Social,TikTok Ads
2024-01-07,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,268251,3916,509,40,225304,173456,109234,73567,49234,9789,2634,623,0.0146,0.13,0.0103,0.8399,Paid Social,Amazon Ad Server
2024-01-07,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,201261,3200,384,25,161169,124567,98901,63234,38234,7567,2089,501,0.0159,0.12,0.0081,0.8008,Paid Social,TikTok Ads
2024-01-07,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,373068,5931,948,97,308004,251234,201234,143456,95234,16567,4823,1312,0.0159,0.16,0.0164,0.8256,Paid Social,TikTok Ads
2024-01-08,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,293425,4225,549,43,250408,179234,112234,75678,50234,10123,2712,645,0.0144,0.13,0.0104,0.8534,Paid Social,TikTok Ads
2024-01-08,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,133737,2581,722,70,97133,72345,48901,36789,24890,4901,1356,256,0.0193,0.28,0.0272,0.7263,Paid Social,TikTok Ads
2024-01-08,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,197048,3014,361,25,162367,128234,101234,65234,39456,7789,2145,512,0.0153,0.12,0.0084,0.824,Paid Social,TikTok Ads
2024-01-09,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,264674,3758,488,39,219335,158901,99567,68234,45789,8978,2389,590,0.0142,0.13,0.0104,0.8287,Paid Social,TikTok Ads
2024-01-09,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,111676,2110,611,61,78843,63456,42345,32234,22234,4345,1189,223,0.0189,0.29,0.0291,0.706,Paid Social,TikTok Ads
2024-01-09,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,385120,6161,985,97,322961,258901,207890,147234,97456,16901,4912,1345,0.016,0.16,0.0159,0.8386,Paid Social,TikTok Ads
2024-01-10,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,311678,4425,575,43,264926,182345,114567,77234,51234,10345,2789,656,0.0142,0.13,0.0099,0.85,Paid Social,Amazon Ad Server
2024-01-10,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,208677,3255,390,27,172283,131567,103567,67234,40567,8012,2201,523,0.0156,0.12,0.0085,0.8256,Paid Social,TikTok Ads
2024-01-10,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,399421,6470,970,105,339427,267890,214567,151234,99567,17234,5012,1378,0.0162,0.15,0.0163,0.8498,Paid Social,StackAdapt
2024-01-11,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,255559,3654,475,36,216637,163567,102567,69567,46567,9123,2423,601,0.0143,0.13,0.0101,0.8477,Paid Social,TikTok Ads
2024-01-11,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,156438,3034,819,81,108395,74567,50234,37890,25234,5012,1423,267,0.0194,0.27,0.0268,0.6929,Paid Social,Amazon Ad Server
2024-01-11,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,209830,3252,390,27,168808,135234,106789,69234,41789,8234,2267,534,0.0155,0.12,0.0084,0.8045,Paid Social,TikTok Ads
2024-01-12,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,286445,4239,508,45,242676,182345,114567,77234,51234,10345,2789,656,0.0148,0.12,0.0107,0.8472,Paid Social,TikTok Ads
2024-01-12,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,162746,3059,825,80,114524,81234,54678,41234,27567,5456,1567,289,0.0188,0.27,0.0264,0.7037,Paid Social,TikTok Ads
2024-01-12,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,227390,3638,436,32,183185,143567,113456,73456,44567,8789,2434,567,0.016,0.12,0.0089,0.8056,Paid Social,TikTok Ads
2024-01-12,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,413996,6706,1005,100,364109,278901,223456,159234,105678,18234,5234,1456,0.0162,0.15,0.015,0.8795,Paid Social,StackAdapt
2024-01-13,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,249357,3765,489,38,212925,173456,109234,73567,49234,9789,2634,623,0.0151,0.13,0.0103,0.8539,Paid Social,TikTok Ads
2024-01-13,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,145920,2714,759,75,99532,76234,51234,38567,25789,5123,1456,278,0.0186,0.28,0.0279,0.6821,Paid Social,TikTok Ads
2024-01-13,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,215829,3518,422,30,164116,137890,108901,70567,42789,8456,2301,545,0.0163,0.12,0.0086,0.7604,Paid Social,TikTok Ads
2024-01-13,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,412466,6929,1039,105,329601,267890,214567,151234,99567,17756,5012,1389,0.0168,0.15,0.0152,0.7991,Paid Social,TikTok Ads
2024-01-14,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,235497,3461,449,34,197158,156234,98234,67234,45234,8923,2345,567,0.0147,0.13,0.01,0.8372,Paid Social,TikTok Ads
2024-01-14,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,137560,2654,716,76,102468,71234,48234,36234,24567,4789,1345,245,0.0193,0.27,0.0287,0.7449,Paid Social,TikTok Ads
2024-01-14,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,209626,3186,382,26,162816,121234,96234,61234,37456,7345,2034,489,0.0152,0.12,0.0084,0.7767,Paid Social,TikTok Ads
2024-01-14,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,375298,6229,934,97,302978,245678,196789,140234,93456,16234,4789,1289,0.0166,0.15,0.0156,0.8073,Paid Social,TikTok Ads
2024-01-15,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,234291,3350,469,31,194789,148234,93234,63456,43234,8567,2234,534,0.0143,0.14,0.0095,0.8314,Paid Social,Amazon Ad Server
2024-01-15,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,136799,2667,746,74,96388,68234,45789,34567,23678,4678,1267,237,0.0195,0.28,0.0279,0.7046,Paid Social,TikTok Ads
2024-01-15,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,206977,3083,369,24,158875,117234,93234,59234,36234,7123,1967,478,0.0149,0.12,0.008,0.7676,Paid Social,TikTok Ads
2024-01-15,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,348790,5545,887,85,274881,239234,191234,136234,90234,15890,4634,1256,0.0159,0.16,0.0155,0.7881,Paid Social,TikTok Ads
2024-01-16,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,245719,3612,469,35,210581,163456,102345,70234,47234,9234,2456,589,0.0147,0.13,0.0099,0.857,Paid Social,StackAdapt
2024-01-16,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,132571,2532,708,72,88013,72345,48901,36789,24890,4901,1356,256,0.0191,0.28,0.0285,0.6639,Paid Social,TikTok Ads
2024-01-16,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,204193,3267,392,26,155574,128234,101234,65234,39456,7789,2145,512,0.016,0.12,0.0081,0.7619,Paid Social,TikTok Ads
2024-01-16,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,360197,5871,880,93,282610,251234,201234,143456,95234,16567,4823,1312,0.0163,0.15,0.0159,0.7846,Paid Social,TikTok Ads
2024-01-17,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,284450,4067,528,42,223293,182345,114567,77234,51234,10345,2789,656,0.0143,0.13,0.0105,0.785,Paid Social,Amazon Ad Server
2024-01-17,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,152672,2961,799,77,111557,81234,54678,41234,27567,5456,1567,289,0.0194,0.27,0.0263,0.7307,Paid Social,TikTok Ads
2024-01-17,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,246923,4000,480,34,201958,148234,117234,75234,45789,8567,2345,567,0.0162,0.12,0.0087,0.8179,Paid Social,TikTok Ads
2024-01-17,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,410856,6614,1058,104,329753,289234,231456,164567,109234,18890,5456,1489,0.0161,0.16,0.0158,0.8026,Paid Social,Amazon Ad Server
2024-01-18,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,296781,4362,610,43,248791,191234,119234,80234,53456,10789,2901,689,0.0147,0.14,0.0099,0.8383,Paid Social,Amazon Ad Server
2024-01-18,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,169985,3229,839,84,117153,87234,58901,44234,29567,5678,1634,312,0.019,0.26,0.0261,0.6892,Paid Social,Amazon Ad Server
2024-01-18,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,255528,3909,469,34,207028,152345,120456,77890,47234,8901,2456,589,0.0153,0.12,0.0087,0.8102,Paid Social,StackAdapt
2024-01-18,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,452955,7292,1093,115,385872,304567,243456,172345,114567,19567,5678,1567,0.0161,0.15,0.0158,0.8519,Paid Social,TikTok Ads
2024-01-19,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,308153,4344,564,43,245659,184567,115678,78234,52345,10456,2812,678,0.0141,0.13,0.0101,0.7972,Paid Social,TikTok Ads
2024-01-19,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,161226,3095,835,82,108231,83567,56234,42345,28234,5523,1589,301,0.0192,0.27,0.0267,0.6713,Paid Social,TikTok Ads
2024-01-19,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,266956,4217,506,35,200617,148901,117890,76234,46234,8734,2401,578,0.0158,0.12,0.0085,0.7515,Paid Social,TikTok Ads
2024-01-19,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,418121,6648,1063,103,364183,296234,237890,168234,111234,19234,5534,1523,0.0159,0.16,0.0156,0.871,Paid Social,TikTok Ads
2024-01-20,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,279340,4218,548,41,226153,179234,112234,75678,50234,10123,2712,645,0.0151,0.13,0.0099,0.8096,Paid Social,TikTok Ads
2024-01-20,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,149421,2898,782,81,104639,79567,53678,40234,26890,5234,1456,278,0.0194,0.27,0.0282,0.7003,Paid Social,TikTok Ads
2024-01-20,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,244214,3883,465,34,185798,142345,112345,72345,43789,8456,2267,545,0.0159,0.12,0.0089,0.7608,Paid Social,TikTok Ads
2024-01-20,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,408385,6452,967,98,347903,287234,229234,162345,107890,18756,5345,1456,0.0158,0.15,0.0152,0.8519,Paid Social,StackAdapt
2024-01-21,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,264508,3808,495,40,223615,163567,102567,69567,46567,9123,2423,601,0.0144,0.13,0.0107,0.8454,Paid Social,TikTok Ads
2024-01-21,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,152386,2880,777,80,102311,72345,48901,36789,24890,4901,1356,256,0.0189,0.27,0.0281,0.6714,Paid Social,TikTok Ads
2024-01-21,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,210339,3260,391,28,164085,131567,103567,67234,40567,8012,2201,523,0.0155,0.12,0.0086,0.7801,Paid Social,TikTok Ads
2024-01-21,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,409414,6755,1013,102,333017,258901,207890,147234,97456,16901,4912,1345,0.0165,0.15,0.0152,0.8134,Paid Social,TikTok Ads
2024-01-22,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,221864,3283,426,31,181129,153456,96234,65234,43567,8756,2234,534,0.0148,0.13,0.0095,0.8164,Paid Social,TikTok Ads
2024-01-22,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,136029,2530,708,66,94036,67234,45234,34234,23456,4567,1234,234,0.0186,0.28,0.0262,0.6913,Paid Social,TikTok Ads
2024-01-22,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,193650,2982,357,25,144346,121234,96234,61234,37456,7345,2034,489,0.0154,0.12,0.0085,0.7454,Paid Social,Amazon Ad Server
2024-01-22,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,372185,6215,932,92,307945,245678,196789,140234,93456,16234,4789,1289,0.0167,0.15,0.0149,0.8274,Paid Social,TikTok Ads
2024-01-23,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,256735,3722,483,36,213013,173456,109234,73567,49234,9789,2634,623,0.0145,0.13,0.0099,0.8297,Paid Social,Amazon Ad Server
2024-01-23,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,144146,2810,758,73,100210,76234,51234,38567,25789,5123,1456,278,0.0195,0.27,0.0262,0.6952,Paid Social,Amazon Ad Server
2024-01-23,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,223095,3591,430,31,170801,137890,108901,70567,42789,8456,2301,545,0.0161,0.12,0.0087,0.7656,Paid Social,TikTok Ads
2024-01-23,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,419332,6835,1025,103,358444,267890,214567,151234,99567,17756,5012,1389,0.0163,0.15,0.0152,0.8548,Paid Social,StackAdapt
2024-01-24,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,295285,4252,552,41,235342,182345,114567,77234,51234,10345,2789,656,0.0144,0.13,0.0098,0.797,Paid Social,TikTok Ads
2024-01-24,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,147481,2802,756,75,104888,81234,54678,41234,27567,5456,1567,289,0.019,0.27,0.0271,0.7112,Paid Social,TikTok Ads
2024-01-24,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,241701,3843,461,31,189541,148234,117234,75234,45789,8567,2345,567,0.0159,0.12,0.0083,0.7842,Paid Social,TikTok Ads
2024-01-24,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,406567,6586,987,106,348387,289234,231456,164567,109234,18890,5456,1489,0.0162,0.15,0.0162,0.8569,Paid Social,TikTok Ads
2024-01-25,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,308456,4595,643,49,261848,200234,125678,84567,56234,11234,3012,723,0.0149,0.14,0.0107,0.8489,Paid Social,StackAdapt
2024-01-25,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,169079,3297,824,89,115396,91234,61567,46234,30789,5890,1678,334,0.0195,0.25,0.027,0.6825,Paid Social,StackAdapt
2024-01-25,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,272510,4087,490,36,215691,160234,126789,81234,49234,9123,2567,612,0.015,0.12,0.009,0.7915,Paid Social,StackAdapt
2024-01-25,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,460062,7591,1138,120,403704,312345,249234,177890,118234,20234,5912,1623,0.0165,0.15,0.0159,0.8775,Paid Social,TikTok Ads
2024-01-26,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,315695,4798,671,47,269129,208901,131234,88234,58901,11567,3134,734,0.0152,0.14,0.01,0.8525,Paid Social,StackAdapt
2024-01-26,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,181060,3548,922,87,131902,95678,64567,48567,32345,6123,1734,345,0.0196,0.26,0.0247,0.7285,Paid Social,Amazon Ad Server
2024-01-26,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,269426,4149,539,36,206083,168901,133456,85678,51789,9456,2634,623,0.0154,0.13,0.0088,0.7649,Paid Social,TikTok Ads
2024-01-26,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,463123,7641,1222,115,407594,323456,258901,184567,122345,20789,6034,1678,0.0165,0.16,0.0151,0.8801,Paid Social,TikTok Ads
2024-01-27,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,309783,4708,612,50,242745,191234,119234,80234,53456,10789,2901,689,0.0152,0.13,0.0107,0.7836,Paid Social,TikTok Ads
2024-01-27,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,176634,3497,944,90,124738,87234,58901,44234,29567,5678,1634,312,0.0198,0.27,0.026,0.7062,Paid Social,TikTok Ads
2024-01-27,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,255550,4088,490,37,191994,152345,120456,77890,47234,8901,2456,589,0.016,0.12,0.0091,0.7513,Paid Social,TikTok Ads
2024-01-27,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,441276,7236,1085,112,387881,304567,243456,172345,114567,19567,5678,1567,0.0164,0.15,0.0155,0.879,Paid Social,TikTok Ads
2024-01-28,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,296539,4448,622,45,247610,179234,112234,75678,50234,10123,2712,645,0.015,0.14,0.0102,0.835,Paid Social,TikTok Ads
2024-01-28,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,148819,2842,767,72,101405,79567,53678,40234,26890,5234,1456,278,0.0191,0.27,0.0256,0.6814,Paid Social,TikTok Ads
2024-01-28,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,250618,3984,478,34,189216,142345,112345,72345,43789,8456,2267,545,0.0159,0.12,0.0087,0.755,Paid Social,TikTok Ads
2024-01-28,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,447956,7391,1108,108,389452,287234,229234,162345,107890,18756,5345,1456,0.0165,0.15,0.0147,0.8694,Paid Social,StackAdapt
2024-01-29,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,281882,4171,542,40,242897,173456,109234,73567,49234,9789,2634,623,0.0148,0.13,0.0098,0.8617,Paid Social,TikTok Ads
2024-01-29,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,155788,2944,794,79,105857,74567,50234,37890,25234,5012,1423,267,0.0189,0.27,0.0269,0.6795,Paid Social,TikTok Ads
2024-01-29,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,216994,3471,416,28,178238,135234,106789,69234,41789,8234,2267,534,0.016,0.12,0.0082,0.8214,Paid Social,Amazon Ad Server
2024-01-29,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,381522,6256,1000,101,331084,267890,214567,151234,99567,17234,5012,1378,0.0164,0.16,0.0163,0.8678,Paid Social,StackAdapt
2024-01-30,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,277741,4027,523,40,226025,182345,114567,77234,51234,10345,2789,656,0.0145,0.13,0.01,0.8138,Paid Social,TikTok Ads
2024-01-30,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,145874,2757,716,76,100944,81234,54678,41234,27567,5456,1567,289,0.0189,0.26,0.0278,0.692,Paid Social,TikTok Ads
2024-01-30,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,261645,4029,483,34,212351,148234,117234,75234,45789,8567,2345,567,0.0154,0.12,0.0086,0.8116,Paid Social,TikTok Ads
2024-01-30,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,455564,7197,1079,112,396841,289234,231456,164567,109234,18890,5456,1489,0.0158,0.15,0.0157,0.8711,Paid Social,TikTok Ads
2024-01-31,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,307869,4402,572,46,259564,188234,117890,79234,52789,10567,2856,667,0.0143,0.13,0.0106,0.8431,Paid Social,StackAdapt
2024-01-31,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,161592,3167,855,84,115877,83567,56234,42345,28234,5523,1589,301,0.0196,0.27,0.0267,0.7171,Paid Social,TikTok Ads
2024-01-31,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,253953,4012,521,33,192826,150567,119234,76890,46567,8678,2378,556,0.0158,0.13,0.0084,0.7593,Paid Social,TikTok Ads
2024-01-31,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,426646,6826,1023,110,357785,296234,237890,168234,111234,19234,5534,1523,0.016,0.15,0.0162,0.8386,Paid Social,TikTok Ads
2024-01-03,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,238548,3458,449,35,202336,156234,98234,67234,45234,8923,2345,567,0.0145,0.13,0.0103,0.8482,Paid Social,TikTok Ads
2024-01-03,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,118687,2266,657,62,87555,67234,45234,34234,23456,4567,1234,234,0.0191,0.29,0.0276,0.7377,Paid Social,StackAdapt
2024-01-03,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,197685,3083,369,24,152079,112345,89234,56789,34567,6789,1890,456,0.0156,0.12,0.008,0.7693,Paid Social,TikTok Ads
2024-01-04,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,232349,3485,453,35,203955,163456,102345,70234,47234,9234,2456,589,0.015,0.13,0.0102,0.8778,Paid Social,TikTok Ads
2024-01-04,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,129815,2518,730,66,88040,71234,48234,36234,24567,4789,1345,245,0.0194,0.29,0.0263,0.6782,Paid Social,TikTok Ads
2024-01-04,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,210490,3157,378,26,155404,117234,93234,59234,36234,7123,1967,478,0.015,0.12,0.0083,0.7383,Paid Social,TikTok Ads
2024-01-05,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,221721,3170,412,31,183673,148234,93234,63456,43234,8567,2234,534,0.0143,0.13,0.0099,0.8284,Paid Social,TikTok Ads
2024-01-05,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,121225,2315,694,69,87269,61234,41234,31234,21234,4234,1123,212,0.0191,0.3,0.0299,0.7199,Paid Social,Amazon Ad Server
2024-01-05,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,356344,5986,957,92,303320,234567,189234,134567,89234,15678,4567,1234,0.0168,0.16,0.0154,0.8512,Paid Social,Amazon Ad Server
2024-01-06,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,271500,4072,529,41,230775,170234,107234,72456,48456,9567,2567,612,0.015,0.13,0.0101,0.85,Paid Social,TikTok Ads
2024-01-06,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,216687,3445,413,28,167477,121234,96234,61234,37456,7345,2034,489,0.0159,0.12,0.0083,0.7729,Paid Social,StackAdapt
2024-01-06,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,378570,6359,953,101,308231,245678,196789,140234,93456,16234,4789,1289,0.0168,0.15,0.0159,0.8142,Paid Social,TikTok Ads
2024-01-07,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,252939,3844,499,40,221599,156789,98789,67789,45456,8945,2367,578,0.0152,0.13,0.0106,0.8761,Paid Social,StackAdapt
2024-01-07,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,125116,2402,648,67,88869,68234,45789,34567,23678,4678,1267,237,0.0192,0.27,0.028,0.7103,Paid Social,TikTok Ads
2024-01-07,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,383023,6090,913,91,300098,239234,191234,136234,90234,15890,4634,1256,0.0159,0.15,0.015,0.7835,Paid Social,TikTok Ads
2024-01-08,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,249330,3615,469,37,201932,173456,109234,73567,49234,9789,2634,623,0.0145,0.13,0.0103,0.8099,Paid Social,StackAdapt
2024-01-08,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,220171,3456,414,29,167990,124567,98901,63234,38234,7567,2089,501,0.0157,0.12,0.0086,0.763,Paid Social,TikTok Ads
2024-01-08,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,373424,6012,901,96,316439,251234,201234,143456,95234,16567,4823,1312,0.0161,0.15,0.0161,0.8474,Paid Social,Amazon Ad Server
2024-01-09,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,286507,4183,543,40,228546,179234,112234,75678,50234,10123,2712,645,0.0146,0.13,0.0097,0.7977,Paid Social,StackAdapt
2024-01-09,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,136195,2546,712,68,96535,72345,48901,36789,24890,4901,1356,256,0.0187,0.28,0.027,0.7088,Paid Social,TikTok Ads
2024-01-09,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,205185,3323,398,26,167595,128234,101234,65234,39456,7789,2145,512,0.0162,0.12,0.0081,0.8168,Paid Social,StackAdapt
2024-01-10,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,246974,3556,462,36,208940,158901,99567,68234,45789,8978,2389,590,0.0144,0.13,0.0102,0.846,Paid Social,Amazon Ad Server
